,zip1,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2010_cat,2011_cat,2012_cat,2013_cat,2014_cat,2015_cat,2016_cat,2017_cat,2018_cat,2019_cat
121,10004,274000.0,5000.0,2141494.0,5209124.0,,489583.0,240600.0,50000.0,1428220.0,255500.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
122,11217,34953030.0,81608615.0,45228593.0,73155135.0,60923157.0,96204009.0,95508925.0,95045392.0,43980486.0,43713781.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,good,excellent
123,11413,5079260.0,4555819.0,6664805.0,9685956.0,12017187.0,7743286.0,29987711.0,19020464.0,4565590.0,8650126.0,poor,poor,fair,fair,fair,poor,good,fair,poor,good
124,10112,26445678.0,14499648.0,10215706.0,31669822.0,13284431.0,21294935.0,101450435.0,49980296.0,64540290.0,71928189.0,good,fair,fair,good,fair,fair,excellent,good,excellent,excellent
125,11432,16391206.0,15380231.0,9982052.0,10769383.0,24170008.0,20830884.0,23228419.0,13533813.0,3993072.0,5319299.0,good,fair,fair,fair,good,fair,fair,fair,poor,fair
126,10044,53510984.0,48590067.0,56725695.0,40899730.0,31476065.0,69822443.0,81760014.0,73682771.0,68026802.0,32303286.0,excellent,excellent,excellent,good,good,excellent,excellent,excellent,excellent,excellent
127,10069,28727701.0,21706123.0,20715099.0,25061289.0,34023196.0,40115097.0,55631562.0,28200713.0,25257816.0,36103299.0,good,good,good,good,good,good,good,good,good,excellent
128,10027,24680719.0,51552359.0,58957469.0,53996185.0,55217468.0,73795768.0,56523218.0,134798280.0,168233251.0,38593532.0,good,excellent,excellent,excellent,excellent,excellent,good,excellent,excellent,excellent
129,10471,4836350.0,15081039.0,7535205.0,26161439.0,6865710.0,8250433.0,16199855.0,25223994.0,12349111.0,5393446.0,poor,fair,fair,good,poor,poor,fair,good,fair,fair
130,10453,17403807.0,35883016.0,25242527.0,45474551.0,25957459.0,34148718.0,30984895.0,21317150.0,36556108.0,10929781.0,good,good,good,excellent,good,good,good,fair,good,good
131,11233,9779071.0,24331457.0,21391044.0,39743827.0,67323211.0,51126264.0,61144974.0,45258266.0,18355875.0,8617795.0,fair,good,good,good,excellent,good,good,good,fair,good
132,10301,12566843.0,16030705.0,17676785.0,18087386.0,18149216.0,25524476.0,25908730.0,17430656.0,14831425.0,12488678.0,fair,fair,fair,fair,fair,good,good,fair,fair,good
133,11212,23130280.0,13171460.0,10652988.0,17814921.0,14021885.0,12109559.0,27477083.0,22714225.0,24939064.0,9182452.0,good,fair,fair,fair,fair,fair,good,fair,good,good
134,11417,2201250.0,3418568.0,19124423.0,1831388.0,4770032.0,5530581.0,6443933.0,11728074.0,4822036.0,12918899.0,poor,poor,good,poor,poor,poor,poor,poor,poor,good
135,11375,18877673.0,25732965.0,23124576.0,14528533.0,28024457.0,24488355.0,24006810.0,22603465.0,21907482.0,11134042.0,good,good,good,fair,good,fair,fair,fair,good,good
136,11354,17441365.0,13224997.0,15941926.0,18366875.0,25446492.0,19651337.0,26522783.0,32185237.0,15310583.0,15336887.0,good,fair,fair,good,good,fair,good,good,fair,good
137,11411,1986440.0,1661041.0,5321054.0,3565171.0,28111518.0,5346446.0,24898900.0,4224212.0,8556403.0,491190.0,poor,poor,poor,poor,good,poor,fair,poor,fair,poor
138,11365,10202429.0,6543093.0,6228094.0,6239303.0,31905553.0,9057476.0,48624818.0,15811173.0,4892890.0,5592921.0,fair,fair,poor,poor,good,poor,good,fair,poor,fair
139,10037,18488002.0,16191772.0,21749079.0,34894006.0,20968425.0,39110578.0,26727937.0,33469234.0,22031730.0,15342321.0,good,good,good,good,fair,good,good,good,good,good
140,10024,917664.0,1288575.0,1070350.0,1331400.0,1395500.0,875831.0,2032175.0,4755690.0,2663335.0,621000.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
141,10026,28007650.0,20707520.0,80916255.0,53268769.0,81617286.0,106657141.0,78496357.0,46447432.0,34310667.0,29234840.0,good,good,excellent,excellent,excellent,excellent,excellent,good,good,excellent
